fanId,username,passwordHash,fullName,email,phone,createdAt,isActive,role
FAN0001,xuanhq,0B14D501A594442A01C6859541BCB3E8164D183D32937B851835442F69D5C94E,Hồ Quốc Xuân,xuanhq@gmail.com,0913549856,2024-12-18 16:27:19,true,FAN
FAN0002,phongph,6CF615D5BCAAC778352A8F1F3360D23F02F34EC182E259897FD6CE485D7870D4,Phạm Hữu Phong,phongph@gmail.com,0906137716,2025-11-22 16:27:19,true,FAN
FAN0003,minhlv,5906AC361A137E2D286465CD6588EBB5AC3F5AE955001100BC41577C3D751764,Lê Văn Minh,minhlv@gmail.com,0914597819,2025-06-02 16:27:19,true,FAN
FAN0004,vinhbd,B97873A40F73ABEDD8D685A7CD5E5F85E4A9CFB83EAC26886640A0813850122B,Bùi Đức Vinh,vinhbd@gmail.com,0905483402,2025-03-24 16:27:19,true,FAN
FAN0005,quanbm,8B2C86EA9CF2EA4EB517FD1E06B74F399E7FEC0FEF92E3B482A6CF2E2B092023,Bùi Minh Quân,quanbm@gmail.com,0914298073,2026-05-11 16:27:19,true,FAN
FAN0006,phongvx,598A1A400C1DFDF36974E69D7E1BC98593F2E15015EED8E9B7E47A83B31693D5,Vũ Xuân Phong,phongvx@gmail.com,0967248685,2025-11-29 16:27:19,true,FAN
FAN0007,minhpd,5860836E8F13FC9837539A597D4086BFC0299E54AD92148D54538B5C3FEEFB7C,Phạm Đức Minh,minhpd@gmail.com,0920561428,2024-11-26 16:27:19,true,FAN
FAN0008,phuchh,57F3EBAB63F156FD8F776BA645A55D96360A15EEFFC8B0E4AFE4C05FA88219AA,Hoàng Hữu Phúc,phuchh@gmail.com,0977019843,2024-11-17 16:27:19,true,FAN
FAN0009,minhld,9323DD6786EBCBF3AC87357CC78BA1ABFDA6CF5E55CD01097B90D4A286CAC90E,Lê Đức Minh,minhld@gmail.com,0972970007,2025-11-03 16:27:19,true,FAN
FAN0010,hungnm,AA4A9EA03FCAC15B5FC63C949AC34E7B0FD17906716AC3B8E58C599CDC5A52F0,Nguyễn Minh Hùng,hungnm@gmail.com,0995069661,2025-01-29 16:27:19,true,FAN
FAN0011,phongvt,53D453B0C08B6B38AE91515DC88D25FBECDD1D6001F022419629DF844F8BA433,Vũ Thành Phong,phongvt@gmail.com,0916869497,2024-10-28 16:27:19,true,FAN
FAN0012,yentq,B3D17EBBE4F2B75D27B6309CFAAE1487B667301A73951E7D523A039CD2DFE110,Trần Quốc Yến,yentq@gmail.com,0923743207,2024-11-14 16:27:19,true,FAN
FAN0013,dunghm,48CAAFB68583936AFD0D78A7BFD7046D2492FAD94F3C485915F74BB60128620D,Hoàng Minh Dũng,dunghm@gmail.com,0915873674,2025-02-18 16:27:19,true,FAN
FAN0014,vinhpx,C6863E1DB9B396ED31A36988639513A1C73A065FAB83681F4B77ADB648FAC3D6,Phạm Xuân Vinh,vinhpx@gmail.com,0938450447,2025-05-13 16:27:19,true,FAN
FAN0015,antm,C63C2D34EBE84032AD47B87AF194FEDD17DACF8222B2EA7F4EBFEE3DD6DB2DFB,Trần Minh An,antm@gmail.com,0915099500,2024-09-23 16:27:19,true,FAN
FAN0016,giangtx,17A3379984B560DC311BB921B7A46B28AA5CB495667382F887A44A7FDBCA7A7A,Trần Xuân Giang,giangtx@gmail.com,0924137133,2024-09-19 16:27:19,true,FAN
FAN0017,binhhv,69BFB918DE05145FBA9DCEE9688DFB23F6115845885E48FA39945EEBB99D8527,Hồ Văn Bình,binhhv@gmail.com,0910624042,2024-10-25 16:27:19,true,FAN
FAN0018,hungtb,D2042D75A67922194C045DA2600E1C92FF6D87E8FB6E0208606665F2D1DFA892,Trần Bảo Hùng,hungtb@gmail.com,0930265604,2025-07-14 16:27:19,true,FAN
FAN0019,namlv,5790AC3D0B8AE8AFC72C2C6FB97654F2B73651C328DE0A3B74854ADE562DD17A,Lê Văn Nam,namlv@gmail.com,0902910971,2025-03-07 16:27:19,true,FAN
FAN0020,phuclb,7535D8F2D8C35D958995610F971287288AB5E8C82A3C4FDC2B6FB5D757A5B9F8,Lê Bảo Phúc,phuclb@gmail.com,0928605337,2025-05-05 16:27:19,true,FAN
FAN0021,hunglv,91A9EF3563010EA1AF916083F9FB03A117D4D0D2A697F82368DA1F737629F717,Lê Văn Hùng,hunglv@gmail.com,0912767108,2025-12-18 16:27:19,true,FAN
FAN0022,vinhnt,D23C1038532DC71D0A60A7FB3D330D7606B7520E9E5EE0DDCDB27EE1BD5BC0CD,Nguyễn Thị Vinh,vinhnt@gmail.com,0990595828,2025-07-14 16:27:19,true,FAN
FAN0023,minhpn,8B807AA0505A00B3EF49E26A2ADE8E31FCD6C700D1A3AEEE971B49D73DA8E8FF,Phan Ngọc Minh,minhpn@gmail.com,0932876752,2025-02-19 16:27:19,true,FAN
